P_value_shallow,P_value_dnn1,P_value_dnn2
0.7326418371454682 0.0002502169668400348,0.6902167946088498 0.0036383368085190614,0.2124424225176461 1.0
1.0 0.08053136932398311,0.14551224542428906 0.14060481047916237,0.7076327676186004 1.0
1.0 0.0624512628385188,0.07707425151149687 0.0006659107618641137,0.6612847839969458 0.009850439751150032
1.0 0.0019121495110163674,1.0 4.028596033000852e-06,1.0 0.5839338987154492
0.014487725874894174 0.7367550040887332,0.529627346153974 0.004290438394936903,1.0 0.0010403042026342713
0.628338978656187 0.024778399752357398,0.04116430518923934 3.6151809868333055e-07,0.05294437131482157 0.12682734656401193
1.0 0.014486909700049129,1.0 0.0011040400965100332,0.24366255621775984 0.0011754739779848177
0.017988198744179246 0.08623398464279239,1.0 0.06228616447119033,1.0 0.021757935731925054
0.4125861290113643 1.0,1.0 0.015393430251366889,0.24633676049805758 0.00164635234151404
0.39233582643467435 0.004341001970360392,0.2972536805229552 0.01721364687628919,0.3056325652818984 0.000382904625004059
0.0076436445755376 0.0002971131004643432,0.0033182089785880236 1.3064683946600217e-05,0.42857848403376675 0.03436585235312041
0.8873656926971651 0.1180539506404553,0.22191324722978492 0.049850372678345,0.761119339962991 0.00020428007798816014
3.52691868572511e-07 1.0,0.791213998952499 0.032904806139134116,0.20840295817383026 0.00021514964961050632
1.0 0.575922362938889,0.2094297397588179 0.0004880680886746642,0.8036328758425707 0.0031887165734173764
0.14193032243316267 0.048603965879960784,0.20222587374987006 2.8831958980107073e-06,0.8106257538311007 0.005102673032443059
1.0 0.015329746456388921,0.5929204814676217 0.0158631807906069,0.8586564568143766 0.032875289294398376
0.3488883500525455 0.05298240627560287,0.07395783559949816 0.007182415227542139,0.169833248114927 0.17145706955161105
